gamerID,serverID,clanName,firstName,lastName,DOB,gender
AngryJoeShow,616449,AngryArmy,Joe,Ferguson,1978-02-12,Male
Delrith,13057,AngryArmy,Delilah,Alonso,1997-06-28,Female
ExploGamer,471297,AngryArmy,Jenny,Livingston,1995-01-03,Female
AlphaWolf,366081,AngryArmy,Micheal,Davidson,1990-08-23,Male
Shottaz,328449,AngryArmy,Shaun,Spencer,1976-11-02,Male
kakashi1413,616449,AngryArmy,Kyle,Gibson,1992-06-19,Male
ZeldaLover08,24833,AngryArmy,Laura,Padilla,1994-03-11,Female
wildheck,233985,Cresent Night Wolves,Hector,Lugo,1986-03-07,Male
Haruhi_Grey,8456,Cresent Night Wolves,Ingrid,Lugo,1992-04-21,Female
Scarboy,540929,Cresent Night Wolves,Keyyan,Lugo,1996-11-21,Male
Hydro,74241,Cresent Night Wolves,Hyrum,Lugo,1996-11-21,Male
Alecin,152321,Cresent Night Wolves,Alex,Cinder,1991-04-04,Male
Ramey,538369,Cresent Night Wolves,Ramnses,Lugo,1994-02-14,Male
Kingpin2,619265,Dads of Destiny,Ryan,Johnson,1982-12-20,Male
Soulblade514,221441,Dads of Destiny,Saul,Jacobson,1980-03-12,Male
Feljin,13057,Dads of Destiny,Felix,Larson,1979-01-20,Male
Shadows28,348417,Dads of Destiny,Simon,Jones,1975-11-16,Male
M_Deezy,74241,Dads of Destiny,Mike,Tolland,1978-09-30,Male
JonnyOThan,168449,ForgeWorld,Johnny,Than,1982-08-13,Male
MonkeyJu5tice,104705,ForgeWorld,Leticia,Norris,1990-07-08,Female
Jetli101,225793,ForgeWorld,Jet,Lee,1960-01-09,Male
Xman1129,34305,ForgeWorld,Xavier,Weisinger,1991-04-19,Male
alwahg,532481,ForgeWorld,Felicia,Hawthorne,1990-05-19,Female
Chirzard,419329,ForgeWorld,Riley,Lebouf,1992-07-29,Female
Rithalius,361729,ForgeWorld,Isabella,Jones,1995-03-14,Female
Da6Beast8,348417,Guardians of the Galaxy,Mason,Wilson,1998-12-23,Male
IRONBLASTER,143896,Guardians of the Galaxy,Peter,Anderson,1989-09-27,Male
Kdallow,152321,Guardians of the Galaxy,Kelly,Garcia,1983-08-02,Female
DJ_Slice,341761,Guardians of the Galaxy,Dallan,Jackson,1981-01-14,Male
PlasmaLily,225793,Guardians of the Galaxy,Lily,Palmer,1983-03-28,Female
Drax,471297,Guardians of the Galaxy,Dave,Bautista,1969-01-18,Male
Rocket,623873,Guardians of the Galaxy,Bradley,Cooper,1975-01-05,Male
UltimateJedi11,532481,Guardians of the Galaxy,Ewan,Mcgregor,1977-04-04,Male
ParadoxSavage96,471297,Guardians of the Galaxy,Morgan,Lefay,1968-05-06,Female
PQuill,467457,Guardians of the Galaxy,Chris,Pratt,1979-06-21,Male
Gamora,221441,Guardians of the Galaxy,Zoe,Saldana,1979-06-19,Female
